Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
292	251.957949363867	0.0347137451171875	-0.0154937744140625	-1.0345458984375E-05	5.706787109375E-06	-1.605224609375E-05	1.60290198891744E-07	1497.64025878906	-2.13837429328123E-05
293	252.007949363741	0.0296783447265625	-0.0204833984375	-1.0418701171875E-05	5.72509765625E-06	-1.6143798828125E-05	2.13410416449733E-07	1966.02233886719	-2.19028461287962E-05
294	252.057949363615	0.0246429443359375	-0.0255096435546875	-1.041259765625E-05	5.682373046875E-06	-1.6094970703125E-05	2.65621650896719E-07	2449.8828125	-2.2423630070989E-05
295	252.107949363489	0.0196075439453125	-0.0303741455078125	-1.03363037109375E-05	5.5908203125E-06	-1.59271240234375E-05	3.13956377340219E-07	2938.58862304688	-2.29423512791982E-05
296	252.157949363362	0.0145721435546875	-0.035443115234375	-1.0198974609375E-05	5.4412841796875E-06	-1.56402587890625E-05	3.61483444066835E-07	3475.16479492188	-2.3455733753508E-05
297	252.207949363236	0.0095367431640625	-0.0404083251953125	-9.97314453125E-06	5.2490234375E-06	-1.522216796875E-05	4.02998040271996E-07	4051.71362304688	-2.39600358327152E-05
298	252.25794936311	0.0045013427734375	-0.0455169677734375	-9.698486328125E-06	5.0140380859375E-06	-1.47125244140625E-05	4.41445678234231E-07	4693.20361328125	-2.44518269028049E-05
299	252.307949362984	-0.0005340576171875	-0.050537109375	-9.3994140625E-06	4.7271728515625E-06	-1.41265869140625E-05	4.75019220402828E-07	5376.62353515625	-2.49292752414476E-05
300	252.357949362857	-0.0055694580078125	-0.05584716796875	-9.0606689453125E-06	4.425048828125E-06	-1.34857177734375E-05	5.06012725054461E-07	6163.69140625	-2.53907764999894E-05
301	252.407949362731	-0.0106048583984375	-0.06060791015625	-8.6822509765625E-06	4.1015625E-06	-1.27838134765625E-05	5.26213113971608E-07	6980.66796875	-2.58343497989699E-05
302	252.457949362605	-0.0156402587890625	-0.065582275390625	-8.2855224609375E-06	3.765869140625E-06	-1.20513916015625E-05	5.4338340760296E-07	7915.28564453125	-2.6258543584845E-05
303	252.507949362479	-0.0206756591796875	-0.070709228515625	-7.8948974609375E-06	3.4210205078125E-06	-1.131591796875E-05	5.582420499195E-07	8956.3203125	-2.66630540863844E-05
304	252.557949362352	-0.0257110595703125	-0.075775146484375	-7.4920654296875E-06	3.0859375E-06	-1.05780029296875E-05	5.67712334031967E-07	10114.052734375	-2.7047728508478E-05
305	252.607949362226	-0.0307464599609375	-0.0810546875	-7.1258544921875E-06	2.74505615234375E-06	-9.87091064453125E-06	5.77583875838172E-07	11374.732421875	-2.74131762125762E-05
306	252.6579493621	-0.0357818603515625	-0.085968017578125	-6.7596435546875E-06	2.4163818359375E-06	-9.176025390625E-06	5.81113113184983E-07	12717.8330078125	-2.77603139693383E-05
307	252.707949361974	-0.0408172607421875	-0.090972900390625	-6.4117431640625E-06	2.10479736328125E-06	-8.51654052734375E-06	5.83294877287699E-07	14188.482421875	-2.80895983451046E-05
308	252.757949361848	-0.0458526611328125	-0.095794677734375	-6.0791015625E-06	1.81365966796875E-06	-7.89276123046875E-06	5.82345535349305E-07	15758.033203125	-2.84018697129795E-05
309	252.807949361721	-0.0508880615234375	-0.10089111328125	-5.780029296875E-06	1.5423583984375E-06	-7.3223876953125E-06	5.8315362139183E-07	17455.12109375	-2.86983486148529E-05
310	252.857949361595	-0.0559234619140625	-0.10595703125	-5.5084228515625E-06	1.2957763671875E-06	-6.80419921875E-06	5.83656117214559E-07	19235.45703125	-2.89805593638448E-05
311	252.907949361469	-0.0609588623046875	-0.1112060546875	-5.255126953125E-06	1.077880859375E-06	-6.3330078125E-06	5.84401902870013E-07	21161.44140625	-2.92496479232796E-05
312	252.957949361343	-0.0659942626953125	-0.116302490234375	-5.023193359375E-06	8.87451171875001E-07	-5.91064453125E-06	5.84209885801101E-07	23153.09765625	-2.95066056423821E-05
313	253.007949361216	-0.0710296630859375	-0.12115478515625	-4.8187255859375E-06	7.21130371093751E-07	-5.53985595703125E-06	5.83811640808563E-07	25142.49609375	-2.97526548820315E-05
314	253.05794936109	-0.0760650634765625	-0.12603759765625	-4.62646484375E-06	5.7647705078125E-07	-5.20294189453125E-06	5.83108544560673E-07	27242.744140625	-2.9988783353474E-05
315	253.107949360964	-0.0811004638671875	-0.131103515625	-4.4647216796875E-06	4.59899902343749E-07	-4.92462158203125E-06	5.85340728775918E-07	29364.318359375	-3.02160642604576E-05
316	253.157949360838	-0.0861358642578125	-0.136199951171875	-4.3212890625E-06	3.59191894531249E-07	-4.68048095703125E-06	5.88559373682074E-07	31518.361328125	-3.04357145068934E-05
317	253.207949360711	-0.0911712646484375	-0.14117431640625	-4.18701171875E-06	2.81677246093751E-07	-4.46868896484375E-06	5.91098512359167E-07	33717.203125	-3.06484216707759E-05
318	253.257949360585	-0.0962066650390625	-0.146331787109375	-4.0771484375E-06	2.197265625E-07	-4.296875E-06	5.96616416714824E-07	35890.71875	-3.08550261252094E-05
319	253.307949360459	-0.101242065429688	-0.151519775390625	-3.973388671875E-06	1.7852783203125E-07	-4.15191650390625E-06	6.02046952735691E-07	38133.640625	-3.10562900267541E-05
